Address,Adopter,Archived,Chlorosis,City,Client Site,Code,Common Name,Community,Crown Condition,Crown Dieback,Crown Exposure,Crown Light Exposure,Cultivar,Date Added,Date Planted,DBH,DBH Range,DBH Stem 1,DBH Stem 2,DBH Stem 3,DBH Stem 4,DBH Stem 5,DBH Stem 6,Email,Family,Genus,Geometry,Has Ecobenefits,Height Range,Height To Crown,Inspection Cycle,Last Inspection,Last Modified,Last Modified User,Latin Name,Latitude,Longitude,Lower Trunk Damage,Main Partner,Mulching,Next Inspection,Number of Stems (Multi Calc),Nursery,Other Damage,Phone,Planting Status,Positive Contact at planting?,Primary Grant Funder,Primary ID,Project Name,Project Specific Funder,Pruning,Reinventory Caliper,Reinventory Condition,Reinventory DBH,Root Flare,Season,Site Type,Staking,Status,Tag,Tree Height (Estimated),Tree Id,Tree Work-Other,Tree Work-PHC,Tree Work-Pruning,User
,,No,,,TK Inventory,CR,Hawthorn,,Good,,,Crown is fully exposed to light.,,,,6,6-12in,,,,,,,,,Crataegus,0101000020110F00000BFED453639862C163F1AFE26D925341,No,N/A,,,,,,Crataegus,41.797402999999996,-87.579224,,,,,,,,,,,,188997,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,CR,Hawthorn,,Fair,,,Two sides of the crown are exposed to light.,,,,3,3-6in,,,,,,,,,Crataegus,0101000020110F0000BFD183DA699862C10D96E4A5E2915341,No,N/A,,,,,,Crataegus,41.793672999999984,-87.579693,,,,,,,,,,,,188996,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,CR,Hawthorn,,Fair,,,Two sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Crataegus,0101000020110F0000186DCB52529862C1EDDBA36618925341,No,N/A,,,,,,Crataegus,41.79511300000001,-87.578002,,,,,,,,,,,,188995,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,CR,Hawthorn,,Fair,,,Three sides of the crown are exposed to light.,,,,3,3-6in,,,,,,,,,Crataegus,0101000020110F00001A65E3EF699862C14DE1C8E8E2915341,No,N/A,,,,,,Crataegus,41.793679999999995,-87.579699,,,,,,,,,,,,188994,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACRU,Red maple,,Good,,,Crown is fully exposed to light.,,,,3,3-6in,,,,,,,,,Acer,0101000020110F00007AA321B15D9862C185D6241E07925341,No,N/A,,,,,,Acer rubrum,41.79465000000001,-87.578819,,,,,,,,,,,,188993,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACRU,Red maple,,Good,,,Crown is fully exposed to light.,,,,3,3-6in,,,,,,,,,Acer,0101000020110F00002F7212D4639862C10084E851F6915341,No,N/A,,,,,,Acer rubrum,41.794200000000004,-87.57926,,,,,,,,,,,,188992,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACRU,Red maple,,Good,,,Crown is fully exposed to light.,,,,3,3-6in,,,,,,,,,Acer,0101000020110F00000E8892F5669862C1A259463CF0915341,No,N/A,,,,,,Acer rubrum,41.794036999999996,-87.579485,,,,,,,,,,,,188991,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACRU,Red maple,,Good,,,Crown is fully exposed to light.,,,,3,3-6in,,,,,,,,,Acer,0101000020110F00006820B06E679862C16886AF82ED915341,No,N/A,,,,,,Acer rubrum,41.79396399999999,-87.579519,,,,,,,,,,,,188990,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,AM,Serviceberry,,Poor,,,Crown is fully exposed to light.,,,,3,3-6in,,,,,,,,,Amelanchier,0101000020110F0000FAA500E35D9862C1D28DAB2305925341,No,N/A,,,,,,Amelanchier,41.794596999999996,-87.578833,,,,,,,,,,,,188989,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,TICO,Littleleaf linden,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Tilia,0101000020110F0000FDC3F7ED659862C103E2CCF56D925341,No,N/A,,,,,,Tilia cordata,41.79740499999998,-87.579411,,,,,,,,,,,,188988,,,,,Good,,,,,,Alive,,,,,,,molly
